Date,CentralBank,Decision
2025-01-29,Fed,Hold
2025-03-19,Fed,Hold
2025-06-18,Fed,Cut 25bps
2025-09-17,Fed,Hold
2025-12-10,Fed,Hike 25bps

2025-02-08,ECB,Hike 25bps
2025-04-11,ECB,Hold
2025-07-25,ECB,Cut 25bps
2025-10-31,ECB,Hold

2025-03-15,BOJ,Exit NIRP
2025-06-20,BOJ,Hold
2025-09-19,BOJ,Hike 10bps
2025-12-18,BOJ,Hike 15bps

2025-03-20,BOE,Hold
2025-06-12,BOE,Hike 25bps
2025-09-11,BOE,Hold
2025-12-18,BOE,Cut 25bps

2025-02-21,BOC,Hold
2025-06-05,BOC,Cut 25bps
2025-09-04,BOC,Hold
2025-12-05,BOC,Hike 25bps

2025-03-26,RBA,Hold
2025-06-18,RBA,Hike 25bps
2025-09-10,RBA,Hold
2025-12-03,RBA,Hike 25bps

2025-04-30,RBNZ,Hold
2025-08-14,RBNZ,Hike 25bps
2025-11-27,RBNZ,Hold

